Surrealism,The Big Wheel,Marc Chagall,1911-1912,https://uploads5.wikiart.org/images/marc-chagall/the-big-wheel.jpg
Surrealism,Feast Day (Rabbi with Lemon),Marc Chagall,1914,https://uploads5.wikiart.org/images/marc-chagall/feast-day-rabbi-with-lemon-1914.jpg
Surrealism,"Relief, Clock",Jean Arp,1914,https://uploads0.wikiart.org/images/jean-arp/relief-clock.jpg
Surrealism,Bookplate Bastiaan Kist,M.C. Escher,1916,https://uploads4.wikiart.org/images/m-c-escher/bookplate-bastiaan-kist.jpg
Surrealism,Invention,Man Ray,1916,https://uploads5.wikiart.org/images/man-ray/invention.jpg
Surrealism,Automatic Drawing,Jean Arp,1916,https://uploads5.wikiart.org/images/jean-arp/automatic-drawing.jpg
Surrealism,Terrestrial Forest Form,Jean Arp,1917,https://uploads7.wikiart.org/images/jean-arp/terrestrial-forest-form-1917.jpg
Surrealism,Double portrait with a glass of wine,Marc Chagall,1918,https://uploads6.wikiart.org/images/marc-chagall/double-portrait-with-a-glass-of-wine-1918.jpg
Surrealism,The Opium Smoker's Dream,Lajos Gulacsy,1918,https://uploads4.wikiart.org/images/gulacsy-lajos/the-opium-smoker-s-dream-1918.jpg
Surrealism,Asian entertainers,Paul Klee,1919,https://uploads6.wikiart.org/images/paul-klee/asian-entertainers-1919(1).jpg
Surrealism,Blocks of Basalt along the Sea,M.C. Escher,1919,https://uploads0.wikiart.org/images/m-c-escher/not_detected_204646.jpg
Surrealism,Twon Tree,M.C. Escher,1919,https://uploads8.wikiart.org/images/m-c-escher/twon-tree.jpg
Surrealism,Jazz,Man Ray,1919,https://uploads0.wikiart.org/images/man-ray/jazz.jpg
Surrealism,Family Excursions,Max Ernst,1919,https://uploads6.wikiart.org/images/max-ernst/family-excursions.jpg
Surrealism,Fruit of a Long Experience,Max Ernst,1919,https://uploads2.wikiart.org/images/max-ernst/fruit-of-a-long-experience-1919.jpg
Surrealism,Politvarus,Stanisław Szukalski,1919,https://uploads3.wikiart.org/00248/images/stanislaw-szukalski/totp.jpg
Surrealism,Before the snow,Paul Klee,1920,https://uploads3.wikiart.org/images/paul-klee/before-the-snow-1920(1).jpg
Surrealism,The Lamb,Paul Klee,1920,https://uploads5.wikiart.org/images/paul-klee/the-lamb-1920(1).jpg
Surrealism,Composition with Circles and Goat,Marc Chagall,1920,https://uploads3.wikiart.org/images/marc-chagall/composition-with-circles-and-goat-1920.jpg
Surrealism,Fall of man,M.C. Escher,1920,https://uploads1.wikiart.org/images/m-c-escher/fall-of-man.jpg
Surrealism,Female Nude I,M.C. Escher,1920,https://uploads3.wikiart.org/images/m-c-escher/female-nude-i.jpg
Surrealism,Female Nude in a Landscape,M.C. Escher,1920,https://uploads7.wikiart.org/images/m-c-escher/female-nude-in-a-landscape.jpg
